Device,video_name,frame_number,total_patches,sector1_correct,sector2_correct,sector3_correct,sector4_correct,blur,std,correct,prnu_std
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,2_,15,15,15,15,15,0.42440104166666665,52.64652332486169,,0.18378533
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,3_,15,15,15,15,15,1.0055290305918048,51.30955865904032,,0.3128485
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,4_,15,14,14,7,14,0.7166174768481315,52.746694495310415,,0.2762831
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,5_,15,15,14,15,15,19.047217849933542,56.45994654387043,,0.60658795
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,6_,15,15,15,15,15,0.8269309228632847,52.455476104704395,,0.22666322
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,7_,15,15,15,15,15,0.4226128472222222,51.695429552446086,,0.17488311
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,8_,15,15,15,15,15,0.3754591049382716,50.71021681357599,,0.16806334
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flatYT_panrot_0001_,9_,15,14,15,15,15,0.6916796874718596,53.66382422002546,,0.26536584
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,0_,15,15,15,15,15,2.8535903739100097,52.812282798223436,,0.33775666
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,10_,15,15,15,14,15,4.362659580541542,52.85321918536447,,0.40520832
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,11_,15,15,15,14,15,1.9198635223763099,51.95073056979961,,0.30164778
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,12_,15,15,15,15,15,0.7279533147717986,53.19306950352377,,0.22540939
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,13_,15,15,15,13,15,2.895817394416482,52.46531515747836,,0.33548295
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,14_,15,15,15,13,15,2.942766680077236,52.533223150808716,,0.34403014
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,1_,15,15,15,14,15,4.772930166835754,52.90387676185354,,0.4024102
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,2_,15,15,15,14,15,2.7596730012535224,52.80837285122079,,0.32851675
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,3_,15,15,15,15,15,4.772930166835754,52.90387676185354,,0.4024102
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,4_,15,15,15,14,15,2.942766680077236,52.533223150808716,,0.34403014
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,5_,15,15,15,14,15,6.031561024913721,52.90360241500096,,0.42020342
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,6_,15,15,15,14,15,2.970516492932527,53.60200175139478,,0.3500848
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,7_,15,15,15,13,14,0.3925270061719089,51.75745997571556,,0.18047594
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,8_,15,15,15,14,15,0.8195702992154811,52.319049257212214,,0.23769961
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_move_0001_,9_,15,15,15,11,13,4.824200418279201,52.21457955791956,,0.39017385
