Device,video_name,frame_number,total_patches,true_patches,quadrant_std,quadrant_prnu_std,std,correct,prnu_std
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,7_,15,15,50.19383770024324,0.19076541,59.09657039118017,1,0.3512334
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,8_,15,1,43.70884655991359,0.20400614,70.75842832022097,0,0.67095435
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_flat_panrot_0001_,9_,15,0,43.71899964726659,0.18875465,65.84808405358798,0,0.37467313
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,0_,3,2,36.07848144297498,1.4008596,41.66530340970992,1,1.7058501
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,10_,2,0,51.4812993058357,1.5032225,44.318234941849056,0,1.4326715
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,11_,3,0,32.0351441459737,1.5618434,38.74944537843561,0,1.7999849
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,12_,3,0,49.847523465067866,1.25836,41.558131823896915,0,1.3144007
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,13_,3,1,47.04006998601043,0.96553624,48.626009096634974,0,1.0776781
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,14_,3,0,27.000579970110667,1.1574837,46.84343451170028,0,1.2085406
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,1_,3,0,43.18750553526565,1.5236493,41.78054686403084,0,1.5894642
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,2_,3,1,23.785185143699117,1.3636012,31.981717325345773,0,1.5382799
D01_Samsung_GalaxyS3,D01_Samsung_GalaxyS3_V_indoorWA_move_0001_,3_,2,0,43.18750553526565,1.5236493,41.78054686403084,0,1.5894642
