Video Name,Total Frames,Correct Frames
11XiaomiRedmiNote3VoutdoorWAstill0002P-number,30,28
11XiaomiRedmiNote3VoutdoorYTmove0002P-number,280,24
11XiaomiRedmiNote3VoutdoorYTstill0002P-number,280,255
11XiaomiRedmiNote3Voutdoormove0002P-number,280,33
11XiaomiRedmiNote3Voutdoorstill0002P-number,280,255
12OnePlusA3000VflatWAmove0001P-number,30,30
12OnePlusA3000VflatWAstill0002P-number,30,30
12OnePlusA3000VflatYTmove0001P-number,280,278
12OnePlusA3000VflatYTstill0002P-number,280,277
12OnePlusA3000Vflatmove0001P-number,280,280
12OnePlusA3000Vflatstill0002P-number,280,280
12OnePlusA3000VindoorWAmove0001P-number,30,2
12OnePlusA3000VindoorWApanrot0001P-number,30,9
12OnePlusA3000VindoorYTmove0001P-number,280,23
12OnePlusA3000VindoorYTpanrot0001P-number,280,83
12OnePlusA3000Vindoormove0001P-number,280,8
12OnePlusA3000Vindoorpanrot0001P-number,279,93
12OnePlusA3000VoutdoorWAmove0002P-number,30,12
12OnePlusA3000VoutdoorWAstill0001P-number,30,30
12OnePlusA3000VoutdoorYTmove0002P-number,280,65
12OnePlusA3000VoutdoorYTstill0001P-number,280,234
12OnePlusA3000Voutdoormove0002P-number,280,112
12OnePlusA3000Voutdoorstill0001P-number,279,240
13HuaweiP8VflatWAmove0002P-number,30,30
13HuaweiP8VflatWAstill0001P-number,30,0
13HuaweiP8VflatYTmove0002P-number,280,232
13HuaweiP8VflatYTstill0001P-number,280,4
13HuaweiP8Vflatmove0002P-number,279,249
13HuaweiP8Vflatstill0001P-number,280,5
13HuaweiP8VindoorWAstill0001P-number,30,19
13HuaweiP8VindoorWAstill0002P-number,30,17
13HuaweiP8VindoorYTstill0001P-number,280,205
13HuaweiP8VindoorYTstill0002P-number,280,190
13HuaweiP8Vindoorstill0001P-number,280,211
13HuaweiP8Vindoorstill0002P-number,280,177
13HuaweiP8VoutdoorWAmove0002P-number,30,5
13HuaweiP8VoutdoorWApanrot0001P-number,30,3
13HuaweiP8VoutdoorYTmove0002P-number,280,117
13HuaweiP8VoutdoorYTpanrot0001P-number,280,122
13HuaweiP8Voutdoormove0002P-number,280,141
13HuaweiP8Voutdoorpanrot0001P-number,280,121
14SamsungGalaxyS4MiniVflatWAmove0001P-number,30,30
14SamsungGalaxyS4MiniVflatWAstill0001P-number,30,30
14SamsungGalaxyS4MiniVflatYTmove0001P-number,279,272
14SamsungGalaxyS4MiniVflatYTstill0001P-number,279,279
14SamsungGalaxyS4MiniVflatmove0001P-number,280,270
14SamsungGalaxyS4MiniVflatstill0001P-number,279,279
14SamsungGalaxyS4MiniVindoorWApanrot0001P-number,30,24
14SamsungGalaxyS4MiniVindoorWAstill0002P-number,30,11
14SamsungGalaxyS4MiniVindoorYTpanrot0001P-number,280,232
14SamsungGalaxyS4MiniVindoorYTstill0002P-number,280,233
14SamsungGalaxyS4MiniVindoorpanrot0001P-number,280,237
14SamsungGalaxyS4MiniVindoorstill0002P-number,279,226
14SamsungGalaxyS4MiniVoutdoorWAmove0002P-number,30,20
14SamsungGalaxyS4MiniVoutdoorWApanrot0002P-number,30,14
14SamsungGalaxyS4MiniVoutdoorYTmove0002P-number,279,173
14SamsungGalaxyS4MiniVoutdoorYTpanrot0002P-number,280,118
14SamsungGalaxyS4MiniVoutdoormove0002P-number,280,179
14SamsungGalaxyS4MiniVoutdoorpanrot0002P-number,280,128
15OnePlusA3003VflatWAmove0003P-number,30,0
15OnePlusA3003VflatWApanrot0001P-number,30,30
15OnePlusA3003VflatYTmove0003P-number,279,0
15OnePlusA3003VflatYTpanrot0001P-number,280,280
15OnePlusA3003Vflatmove0003P-number,280,0
15OnePlusA3003Vflatpanrot0001P-number,280,280
15OnePlusA3003VindoorWAstill0001P-number,30,1
15OnePlusA3003VindoorWAstill0002P-number,30,21
15OnePlusA3003VindoorYTstill0001P-number,280,11
15OnePlusA3003VindoorYTstill0002P-number,279,153
15OnePlusA3003Vindoorstill0001P-number,280,17
15OnePlusA3003Vindoorstill0002P-number,280,183
15OnePlusA3003VoutdoorWAmove0002P-number,30,17
15OnePlusA3003VoutdoorWApanrot0001P-number,30,18
15OnePlusA3003VoutdoorYTmove0002P-number,280,46
15OnePlusA3003VoutdoorYTpanrot0001P-number,280,124
15OnePlusA3003Voutdoormove0002P-number,280,76
