Video Name,Total Frames,Correct Frames
08AppleiPhone5VoutdoorWApanrot0002P-number,45,44
08AppleiPhone5VoutdoorWAstill0002P-number,45,11
08AppleiPhone5VoutdoorYTpanrot0002P-number,420,420
08AppleiPhone5VoutdoorYTstill0002P-number,392,106
08AppleiPhone5Voutdoorpanrot0002P-number,420,417
08AppleiPhone5Voutdoorstill0002P-number,420,115
09HuaweiP8VflatWApanrot0002P-number,45,44
09HuaweiP8VflatWAstill0002P-number,45,45
09HuaweiP8VflatYTpanrot0002P-number,420,413
09HuaweiP8VflatYTstill0002P-number,392,392
09HuaweiP8Vflatpanrot0002P-number,420,416
09HuaweiP8Vflatstill0002P-number,420,420
09HuaweiP8VindoorWApanrot0001P-number,45,42
09HuaweiP8VindoorWApanrot0002P-number,45,27
09HuaweiP8VindoorYTpanrot0001P-number,420,408
09HuaweiP8VindoorYTpanrot0002P-number,420,384
09HuaweiP8Vindoorpanrot0001P-number,420,402
09HuaweiP8Vindoorpanrot0002P-number,420,384
09HuaweiP8VoutdoorWAmove0001P-number,45,38
09HuaweiP8VoutdoorWAmove0002P-number,45,20
09HuaweiP8VoutdoorYTmove0001P-number,392,372
09HuaweiP8VoutdoorYTmove0002P-number,420,278
09HuaweiP8Voutdoormove0001P-number,420,402
09HuaweiP8Voutdoormove0002P-number,420,289
10SamsungGalaxyS4MiniVflatWApanrot0002P-number,45,45
10SamsungGalaxyS4MiniVflatWAstill0001P-number,45,45
10SamsungGalaxyS4MiniVflatYTpanrot0002P-number,420,420
10SamsungGalaxyS4MiniVflatYTstill0001P-number,420,420
10SamsungGalaxyS4MiniVflatpanrot0002P-number,420,420
10SamsungGalaxyS4MiniVflatstill0001P-number,420,420
10SamsungGalaxyS4MiniVindoorWAmove0001P-number,45,38
10SamsungGalaxyS4MiniVindoorWAmove0002P-number,45,35
10SamsungGalaxyS4MiniVindoorYTmove0001P-number,392,369
10SamsungGalaxyS4MiniVindoorYTmove0002P-number,420,394
10SamsungGalaxyS4MiniVindoormove0001P-number,420,397
10SamsungGalaxyS4MiniVindoormove0002P-number,420,381
10SamsungGalaxyS4MiniVoutdoorWApanrot0002P-number,45,37
10SamsungGalaxyS4MiniVoutdoorWAstill0002P-number,45,45
10SamsungGalaxyS4MiniVoutdoorYTpanrot0002P-number,392,300
10SamsungGalaxyS4MiniVoutdoorYTstill0002P-number,392,383
10SamsungGalaxyS4MiniVoutdoorpanrot0002P-number,420,361
