Video Name,Total Frames,Correct Frames
10AppleiPhone5Voutdoorpanrot0002P-number,420,380
10AppleiPhone5Voutdoorstill0002P-number,420,105
11XiaomiRedmiNote3VflatWAmove0001P-number,45,1
11XiaomiRedmiNote3VflatWAmove0002P-number,45,0
11XiaomiRedmiNote3VflatYTmove0001P-number,420,147
11XiaomiRedmiNote3VflatYTmove0002P-number,420,125
11XiaomiRedmiNote3Vflatmove0001P-number,420,25
11XiaomiRedmiNote3Vflatmove0002P-number,420,27
11XiaomiRedmiNote3VindoorWApanrot0001P-number,45,41
11XiaomiRedmiNote3VindoorWAstill0001P-number,45,45
11XiaomiRedmiNote3VindoorYTpanrot0001P-number,420,369
11XiaomiRedmiNote3VindoorYTstill0001P-number,364,359
11XiaomiRedmiNote3Vindoorpanrot0001P-number,420,384
11XiaomiRedmiNote3Vindoorstill0001P-number,420,411
11XiaomiRedmiNote3VoutdoorWApanrot0001P-number,45,38
11XiaomiRedmiNote3VoutdoorWAstill0002P-number,45,45
11XiaomiRedmiNote3VoutdoorYTpanrot0001P-number,392,365
11XiaomiRedmiNote3VoutdoorYTstill0002P-number,364,364
11XiaomiRedmiNote3Voutdoorpanrot0001P-number,420,368
11XiaomiRedmiNote3Voutdoorstill0002P-number,420,419
12OnePlusA3000VflatWAmove0003P-number,45,45
12OnePlusA3000VflatWApanrot0001P-number,45,37
12OnePlusA3000VflatYTmove0003P-number,420,420
12OnePlusA3000VflatYTpanrot0001P-number,420,420
12OnePlusA3000Vflatmove0003P-number,420,420
12OnePlusA3000Vflatpanrot0001P-number,420,420
12OnePlusA3000VindoorWAmove0001P-number,45,2
12OnePlusA3000VindoorWApanrot0001P-number,45,20
12OnePlusA3000VindoorYTmove0001P-number,420,19
12OnePlusA3000VindoorYTpanrot0001P-number,420,217
12OnePlusA3000Vindoormove0001P-number,420,10
12OnePlusA3000Vindoorpanrot0001P-number,420,145
12OnePlusA3000VoutdoorWAmove0002P-number,45,17
12OnePlusA3000VoutdoorWAstill0001P-number,45,45
12OnePlusA3000VoutdoorYTmove0002P-number,420,134
12OnePlusA3000VoutdoorYTstill0001P-number,392,392
12OnePlusA3000Voutdoormove0002P-number,420,215
12OnePlusA3000Voutdoorstill0001P-number,420,420
13HuaweiP8VflatWApanrot0001P-number,45,2
13HuaweiP8VflatWApanrot0002P-number,45,6
13HuaweiP8VflatYTpanrot0001P-number,420,181
13HuaweiP8VflatYTpanrot0002P-number,420,93
13HuaweiP8Vflatpanrot0001P-number,420,290
13HuaweiP8Vflatpanrot0002P-number,420,183
13HuaweiP8VindoorWAmove0001P-number,45,32
13HuaweiP8VindoorWAmove0002P-number,45,24
13HuaweiP8VindoorYTmove0001P-number,392,236
13HuaweiP8VindoorYTmove0002P-number,420,133
13HuaweiP8Vindoormove0001P-number,420,316
13HuaweiP8Vindoormove0002P-number,420,75
13HuaweiP8VoutdoorWAmove0002P-number,45,18
13HuaweiP8VoutdoorWAstill0002P-number,45,43
13HuaweiP8VoutdoorYTmove0002P-number,420,279
13HuaweiP8VoutdoorYTstill0002P-number,392,359
13HuaweiP8Voutdoormove0002P-number,420,314
13HuaweiP8Voutdoorstill0002P-number,420,388
14SamsungGalaxyS4MiniVflatWApanrot0002P-number,45,45
14SamsungGalaxyS4MiniVflatWAstill0001P-number,45,45
14SamsungGalaxyS4MiniVflatYTpanrot0002P-number,420,419
14SamsungGalaxyS4MiniVflatYTstill0001P-number,420,420
14SamsungGalaxyS4MiniVflatpanrot0002P-number,420,420
14SamsungGalaxyS4MiniVflatstill0001P-number,420,420
14SamsungGalaxyS4MiniVindoorWAmove0001P-number,45,12
14SamsungGalaxyS4MiniVindoorWAmove0002P-number,45,21
14SamsungGalaxyS4MiniVindoorYTmove0001P-number,392,236
14SamsungGalaxyS4MiniVindoorYTmove0002P-number,420,333
14SamsungGalaxyS4MiniVindoormove0001P-number,420,245
14SamsungGalaxyS4MiniVindoormove0002P-number,420,317
14SamsungGalaxyS4MiniVoutdoorWApanrot0002P-number,45,39
14SamsungGalaxyS4MiniVoutdoorWAstill0002P-number,45,34
14SamsungGalaxyS4MiniVoutdoorYTpanrot0002P-number,392,293
14SamsungGalaxyS4MiniVoutdoorYTstill0002P-number,392,257
14SamsungGalaxyS4MiniVoutdoorpanrot0002P-number,420,361
14SamsungGalaxyS4MiniVoutdoorstill0002P-number,420,291
15OnePlusA3003VflatWAmove0001P-number,45,45
15OnePlusA3003VflatWAstill0002P-number,45,45
15OnePlusA3003VflatYTmove0001P-number,420,420
15OnePlusA3003VflatYTstill0002P-number,420,420
15OnePlusA3003Vflatmove0001P-number,420,420
15OnePlusA3003Vflatstill0002P-number,420,420
15OnePlusA3003VindoorWAmove0001P-number,45,12
15OnePlusA3003VindoorWAstill0002P-number,45,20
15OnePlusA3003VindoorYTmove0001P-number,420,183
15OnePlusA3003VindoorYTstill0002P-number,392,165
15OnePlusA3003Vindoormove0001P-number,420,216
15OnePlusA3003Vindoorstill0002P-number,420,187
15OnePlusA3003VoutdoorWApanrot0001P-number,45,23
15OnePlusA3003VoutdoorWAstill0001P-number,45,44
15OnePlusA3003VoutdoorYTpanrot0001P-number,392,159
15OnePlusA3003VoutdoorYTstill0001P-number,392,213
15OnePlusA3003Voutdoorpanrot0001P-number,420,188
